BILLABLE_ID,INVOICE_DATE,ACCOUNT_ID,MOBILE_NO,BILL_START_DATE,BILL_END_DATE,COMPANY_NAME,INVOICE_NO,CITY,MONTHLY_RENTAL,USAGE,ONE_TIME_CHARGES,DISCOUNT,TAX,TOTAL_OUTSTANDING
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206077,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206079,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206055,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206081,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206071,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206056,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206042,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206086,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206070,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206080,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000206039,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241671,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241667,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241674,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241668,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241670,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241673,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241669,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241675,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000241676,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331222,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331235,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331229,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331226,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331219,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331232,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331220,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331234,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331223,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331238,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000331237,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375524,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375493,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375489,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375509,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375490,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375492,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375484,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375508,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375491,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375494,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375526,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375516,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000375501,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
